ZIP code (or aggregate),Community,Hospitalizations 2000,Crude Rate 2000,Hospitalizations 2001,Crude Rate 2001,Hospitalizations 2002,Crude Rate 2002,Hospitalizations 2003,Crude Rate 2003,Hospitalizations 2004,Crude Rate 2004,Hospitalizations 2005,Crude Rate 2005,Hospitalizations 2006,Crude Rate 2006,Hospitalizations 2007,Crude Rate 2007,Hospitalizations 2008,Crude Rate 2008,Hospitalizations 2009,Crude Rate 2009,Hospitalizations 2010,Crude Rate 2010,Hospitalizations 2011,Crude Rate 2011
"60601, 60602, 60603, 60604, 60605 & 60611",Downtown,57,12.7,60,12.7,71,14.4,61,11.8,55,10.2,64,11.5,69,11.9,52,8.6,43,6.9,54,8.4,49,7.3,40,6
"60606, 60607 & 60661",West Loop,41,19,30,13.1,32,13.3,28,11.1,23,8.7,31,11.2,32,11,35,11.6,49,15.6,31,9.5,26,7.7,31,9.1
60608,Lower West Side,211,22.8,193,21.1,166,18.3,172,19.2,192,21.7,203,23.2,173,20,179,20.9,182,21.5,192,22.9,192,23.2,207,25
60609,New City,242,30.5,176,22.6,204,26.7,222,29.6,193,26.2,210,29.1,184,26,219,31.6,185,27.3,206,31,203,31.3,176,27.1
60610 & 60654,Near North Side,80,16.8,79,16.5,84,17.3,80,16.3,82,16.6,90,18,72,14.2,60,11.8,71,13.8,64,12.3,74,14.1,78,14.8
60612,Near West Side,124,32.6,136,36.2,126,34,114,31.1,112,31,144,40.3,138,39.1,155,44.5,159,46.3,147,43.3,135,40.3,167,49.9
60613,Lake View,67,13.3,75,14.9,54,10.8,67,13.4,65,13.1,61,12.3,54,11,60,12.3,50,10.3,73,15.1,54,11.2,53,11
60614,Lincoln Park,64,9.8,81,12.4,62,9.4,60,9.1,60,9.1,69,10.5,74,11.2,63,9.5,71,10.7,75,11.3,76,11.4,63,9.5
60615,Hyde Park,114,25.3,91,20.4,101,22.9,115,26.3,101,23.3,105,24.5,102,24.1,102,24.3,94,22.7,117,28.5,107,26.4,92,22.7
60616,Chinatown,133,28.3,108,22.9,123,26,120,25.3,103,21.6,155,32.5,118,24.6,155,32.3,110,22.8,109,22.6,87,18,80,16.5
60617,South Chicago,283,29.4,305,32.1,308,32.8,337,36.4,370,40.5,317,35.1,372,41.8,385,43.9,378,43.7,361,42.3,393,46.7,380,45.2
60618,Avondale,139,14.2,129,13.2,153,15.8,123,12.8,124,13,156,16.4,157,16.6,143,15.2,129,13.8,150,16.2,124,13.5,129,14
60619,Chatham,242,32.3,306,41.4,350,48.1,320,44.7,286,40.6,330,47.6,346,50.7,362,53.9,362,54.8,312,48.1,363,56.9,356,55.8
60620,Auburn Gresham,388,45.2,342,40.5,376,45.3,344,42.1,350,43.6,339,42.9,432,55.6,429,56.2,380,50.7,362,49.2,393,54.4,321,44.5
60621,Englewood,256,53.9,247,53.3,236,52.2,250,56.8,252,58.8,252,60.4,237,58.4,239,60.7,241,63,241,65,202,56.3,164,45.7
60622 & 60642,West Town,231,30.4,271,35.9,245,32.7,211,28.3,240,32.4,203,27.6,181,24.8,209,28.8,194,26.9,172,24.1,146,20.6,112,15.8
60623,South Lawndale,240,22.2,291,27.3,291,27.7,252,24.4,277,27.2,285,28.5,241,24.5,280,28.9,252,26.4,280,29.9,259,28.1,229,24.9
