CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
1,1,12,12,1,41.928307179,-87.68197137
2,18,12,17,1,41.763366735,-87.70018975
3,18,12,40,1,41.762502707,-87.70046003
4,5,12,37,1,41.795089883,-87.58635917
5,45,12,2,0,41.949207776,-87.72809124
6,18,12,1,0,41.750308469,-87.67564359
7,5,12,6,0,41.79317453,-87.59664483
8,5,12,12,0,41.79152143,-87.59950057
9,41,12,2,0,41.981281219,-87.79388842
10,5,12,7,0,41.795310414,-87.58917028
11,5,12,8,0,41.799468663,-87.58923619
12,4,12,16,0,41.80232895,-87.59361965
13,4,12,24,0,41.80087234,-87.59358152
14,4,12,1,0,41.802348128,-87.59199819
15,4,12,6,0,41.800933113,-87.5892302
16,5,12,7,0,41.791557275,-87.59637808
17,5,12,8,0,41.795294927,-87.58752503
18,4,12,5,0,41.798521732,-87.59359687
19,27,12,26,0,41.901600325,-87.66178813
20,1,12,2,2,41.917496608,-87.68871961
21,28,12,1,2,41.85214078,-87.68591354
22,17,12,15,0,41.759241201,-87.67324364
23,17,12,10,0,41.768398166,-87.67347689
24,17,12,7,0,41.770216831,-87.67351973
25,16,12,20,0,41.772031271,-87.67356627
26,16,12,2,0,41.799380207,-87.66730697
27,36,12,5,0,41.943007158,-87.76851845
28,38,12,15,0,41.951256817,-87.77656192
29,38,12,8,0,41.950270922,-87.77652878
30,45,12,3,0,41.949204666,-87.72839004
31,7,12,32,0,41.740750784,-87.56500052
32,38,12,10,0,41.960585018,-87.76246437
33,7,12,2,0,41.746432765,-87.56290551
34,7,12,5,0,41.746262812,-87.55917374
35,7,12,9,0,41.749808516,-87.55877622
36,24,12,3,0,41.854364791,-87.69046703
37,21,12,15,2,41.742929694,-87.66704181
38,12,12,51,0,41.823463687,-87.66574345
39,14,12,3,0,41.807856045,-87.73343455
40,14,12,1,0,41.807885763,-87.73114095
41,14,12,3,0,41.807917632,-87.72854105
42,14,12,8,0,41.807742395,-87.72505038
43,45,12,15,0,41.972801149,-87.75754144
44,6,12,4,0,41.745584778,-87.61249479
45,9,12,24,0,41.723673345,-87.62336216
46,9,12,12,0,41.731033839,-87.62044628
47,9,12,9,0,41.716557678,-87.60459579
48,8,12,3,0,41.714678465,-87.60472602
49,9,12,4,0,41.714715326,-87.60501487
50,9,12,15,0,41.712833351,-87.60544258
51,9,12,6,0,41.698148101,-87.60877316
52,9,12,5,0,41.699970648,-87.60807613
53,9,12,9,0,41.710882946,-87.60588925
54,8,12,6,0,41.710845829,-87.60560049
55,8,12,5,0,41.722153939,-87.60444774
56,6,12,1,0,41.741004045,-87.60994118
57,6,12,4,0,41.754039399,-87.60908507
58,6,12,5,0,41.752272069,-87.60904548
59,6,12,2,0,41.74193693,-87.61081816
60,45,12,1,0,41.969285466,-87.75980631
61,39,12,1,1,41.975257338,-87.74784143
62,44,12,1,1,41.933987493,-87.64567386
63,44,12,6,1,41.934861458,-87.65864593
64,39,12,22,1,41.98233519,-87.75072241
65,4,12,3,1,41.838582885,-87.61339302
66,14,12,7,1,41.807822546,-87.73588487
67,9,12,12,1,41.682466129,-87.61803479
68,35,12,7,1,41.922934237,-87.72535476
69,35,12,8,1,41.922947673,-87.72413443
70,45,12,1,1,41.97114332,-87.76744204
71,6,12,4,1,41.767900224,-87.61517033
72,43,12,8,2,41.921909959,-87.64848809
73,44,12,10,2,41.948645476,-87.66299447
74,45,12,2,4,41.975571573,-87.76939225
75,6,12,10,4,41.767182065,-87.62762466
76,32,12,6,4,41.931930744,-87.7050409
77,21,12,3,0,41.748762969,-87.64169279
78,21,12,9,0,41.748745722,-87.64291128
79,21,12,1,0,41.746967268,-87.6428634
80,17,12,10,0,41.754169219,-87.64549214
81,17,12,8,0,41.750751157,-87.64410779
82,3,12,1,0,41.806580372,-87.61397796
83,34,12,1,0,41.703114705,-87.6495894
84,9,12,5,0,41.66503038,-87.63660039
85,9,12,1,0,41.665073472,-87.63562551
86,9,12,5,0,41.664137513,-87.63565523
87,34,12,19,0,41.685995935,-87.64933175
88,34,12,1,0,41.689498841,-87.65282193
89,34,12,21,0,41.688922467,-87.65093304
90,34,12,1,0,41.692224265,-87.65712292
91,34,12,15,0,41.69489133,-87.65477039
92,17,12,29,0,41.750530301,-87.64539867
