ID,POLICYNO,BIRTH,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,NPOLICY,URBANICITY,AGE_BAND,CREDIT_SCORE_BAND,KIDSDRIV,INITDATE,PLCYDATE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CLM_DATE,CLAIM_FLAG,STATE,TRAVTIME,CAR_USE,BLUEBOOK,CAR_TYPE,RED_CAR,CAR_AGE,TIF,OCCUPATION,PLCYYEAR,CLM_EXPOSURE,LN_CLM_EXPOSURE,CUST_LOYALTY,BLUEBOOK_1000
939401184,693420,20JAN71,2,13,,Yes,$0,No,F,High School,2,Highly Urban/ Urban,36 - 50,750 +,1,21FEB97,24FEB01,$0,0,No,0,"$6,195",20AUG01,1,IN,62,Commercial,"$9,360",Sports Car,no,,106,Blue Collar,2001,0.4849315068,-0.723747621,4.0082191781,9.36
840809480,696991,29JUN72,3,12,"$56,048",No,"$137,836",Yes,M,Masters,2,Highly Urban/ Urban,36 - 50,660 - 749,0,14MAR95,22MAR01,"$2,045",2,No,2,$0,,0,WI,15,Private,"$10,700",Minivan,no,16,105,Lawyer,2001,1,0,6.0219178082,10.7
401200262,746346,23SEP60,0,,,No,"$252,896",Yes,M,Bachelors,2,Highly Urban/ Urban,51 - 65,750 +,0,12MAY88,07APR01,"$1,554",5,No,1,$0,,0,IL,14,Commercial,"$28,560",Panel Truck,yes,10,104,Professional,2001,1,0,12.902357961,28.56
926073051,748557,12OCT64,2,,"$24,060",Yes,$0,No,M,Bachelors,1,Highly Urban/ Urban,36 - 50,750 +,1,29APR97,28APR01,$0,0,No,0,"$3,532",16NOV01,1,IL,24,Private,"$14,220",Minivan,no,10,104,Clerical,2001,0.5534246575,-0.591629656,3.997260274,14.22
862203239,781399,20OCT74,0,8,"$14,194",No,"$87,034",No,F,<High School,2,Highly Urban/ Urban,36 - 50,750 +,0,16APR97,05MAY01,"$24,767",3,Yes,2,"$7,786",05AUG01,1,OH,13,Private,"$2,920",Sports Car,no,10,103,Clerical,2001,0.2520547945,-1.378108777,4.0520547945,2.92
601118153,1009383,26DEC68,0,11,"$33,727",No,$0,No,F,Bachelors,1,Highly Urban/ Urban,36 - 50,620 - 659,0,06MAR01,06MAR01,"$8,350",1,No,2,$0,,0,OH,27,Private,"$10,850",SUV,no,12,105,Clerical,2001,1,0,0,10.85
808304017,1010844,30MAY59,0,0,$0,No,"$159,389",Yes,F,Masters,1,Highly Urban/ Urban,51 - 65,660 - 749,0,06MAY91,04MAY01,"$9,115",1,No,6,$0,,0,MI,42,Private,"$6,400",SUV,no,14,103,Professional,2001,1,0,9.9945205479,6.4
8565171,1175450,13OCT67,0,10,"$66,265",No,"$159,276",Yes,M,Masters,1,Highly Urban/ Urban,36 - 50,660 - 749,0,05MAY97,04MAY01,$0,0,No,1,"$13,105",30JAN02,1,MI,59,Private,"$12,230",Minivan,yes,9,103,Lawyer,2001,0.7424657534,-0.297778533,3.997260274,12.23
765577228,1408765,08MAY53,0,15,"$108,152",No,"$329,756",Yes,F,Masters,1,Highly Urban/ Urban,51 - 65,750 +,0,19FEB01,19FEB01,$0,0,Yes,0,$0,,0,IN,18,Private,"$12,320",SUV,no,15,106,Manager,2001,1,0,0,12.32
394642738,1875285,28FEB69,1,16,"$12,054",No,$0,Yes,F,<High School,1,Highly Urban/ Urban,36 - 50,660 - 749,1,05MAY97,04MAY01,"$1,738",2,Yes,4,"$4,887",09JUN01,1,IL,28,Commercial,"$15,760",Pickup,no,1,103,Student,2001,0.098630137,-2.316378415,3.997260274,15.76
