Activation,nLayer,nHiddenNeuron,Loss,RSquare,Misclassification
identity,1,1,0.6662895423429899,-1.0,0.5
identity,1,2,0.6662898291991203,-1.0,0.5
identity,1,3,0.6662905427444965,-1.0,0.5
identity,1,4,0.6662905691851628,-1.0,0.5
identity,1,5,0.6662916293447717,-1.0,0.5
identity,1,6,0.6662910511024391,-1.0,0.5
identity,1,7,0.6662908649938545,-1.0,0.5
identity,1,8,0.6662914196449219,-1.0,0.5
identity,1,9,0.6662918343427443,-1.0,0.5
identity,1,10,0.6662916493938679,-1.0,0.5
identity,2,1,0.6662904124521878,-1.0,0.5
identity,2,2,0.6662911535240548,-1.0,0.5
identity,2,3,0.6662924752401759,-1.0,0.5
identity,2,4,0.6662928006795966,-1.0,0.5
identity,2,5,0.6662940765351677,-1.0,0.5
identity,2,6,0.6662945659981531,-1.0,0.5
identity,2,7,0.6662957099639514,-1.0,0.5
identity,2,8,0.6662965339102652,-1.0,0.5
identity,2,9,0.6662972156655134,-1.0,0.5
identity,2,10,0.6662974459871962,-1.0,0.5
identity,3,1,0.6662911962093527,-1.0,0.5
identity,3,2,0.6662918510611431,-1.0,0.5
identity,3,3,0.6662953825277275,-1.0,0.5
identity,3,4,0.6662949313683482,-1.0,0.5
identity,3,5,0.6662968006110659,-1.0,0.5
identity,3,6,0.6662982941793555,-1.0,0.5
identity,3,7,0.6662991114960903,-1.0,0.5
identity,3,8,0.6662992474398283,-1.0,0.5
identity,3,9,0.6663021516406014,-1.0,0.5
identity,3,10,0.666302587200039,-1.0,0.5
identity,4,1,0.6662918937425338,-1.0,0.5
identity,4,2,0.6662922876162759,-1.0,0.5
identity,4,3,0.6662962047735009,-1.0,0.5
identity,4,4,0.6662977298295004,-1.0,0.5
identity,4,5,0.6663012660560564,-1.0,0.5
identity,4,6,0.666300250083996,-1.0,0.5
identity,4,7,0.6663011802826129,-1.0,0.5
identity,4,8,0.666303994501432,-1.0,0.5
identity,4,9,0.6663060233616867,-1.0,0.5
identity,4,10,0.6663073589350991,-1.0,0.5
identity,5,1,0.6662951804977573,-1.0,0.5
identity,5,2,0.6662937152829844,-1.0,0.5
identity,5,3,0.6662986509062299,-1.0,0.5
identity,5,4,0.6663015822596844,-1.0,0.5
identity,5,5,0.6663017719002323,-1.0,0.5
identity,5,6,0.6663041741413628,-1.0,0.5
identity,5,7,0.6663071758198097,-1.0,0.5
identity,5,8,0.6663083707007086,-1.0,0.5
identity,5,9,0.6663103625017905,-1.0,0.5
identity,5,10,0.6663113322540819,-1.0,0.5
