Activation,nLayer,nHiddenNeuron,Loss,RSquare,Misclassification
relu,1,1,0.584737482824447,-0.43999999999999995,0.36
relu,1,2,0.5788462097991481,-0.72,0.43000000000000005
relu,1,3,0.4275637754717971,0.16000000000000003,0.20999999999999996
relu,1,4,0.30100819087517516,0.36,0.16000000000000003
relu,1,5,0.41954883836273804,-0.08000000000000007,0.27
relu,1,6,0.34157362029098204,0.4,0.15000000000000002
relu,1,7,0.543600391377073,-0.6799999999999999,0.42000000000000004
relu,1,8,0.06395035944477491,0.88,0.030000000000000027
relu,1,9,0.06995215300243773,0.84,0.040000000000000036
relu,1,10,0.05989443150191831,0.96,0.010000000000000009
relu,2,1,0.6931484009033456,-1.0,0.5
relu,2,2,0.554874934643672,-0.3999999999999999,0.35
relu,2,3,0.6931505912433855,-1.0,0.5
relu,2,4,0.48829791025355346,-0.040000000000000036,0.26
relu,2,5,0.2122093533040818,0.64,0.08999999999999997
relu,2,6,0.16671075369035865,0.76,0.06000000000000005
relu,2,7,0.00015766514090447028,1.0,0.0
relu,2,8,0.00021500871093397552,1.0,0.0
relu,2,9,0.0002132272802392905,1.0,0.0
relu,2,10,0.02549576160533199,0.92,0.020000000000000018
relu,3,1,0.6931499538911582,-1.0,0.5
relu,3,2,0.6931506311376752,-1.0,0.5
relu,3,3,0.5221634023531192,-0.3999999999999999,0.35
relu,3,4,0.6633846856702231,-0.76,0.43999999999999995
relu,3,5,0.19689867539454045,0.72,0.06999999999999995
relu,3,6,0.00021532018878533057,1.0,0.0
relu,3,7,0.20857085281118176,0.64,0.08999999999999997
relu,3,8,0.0001497228458175031,1.0,0.0
relu,3,9,0.00020838754344977125,1.0,0.0
relu,3,10,0.00017257603481398857,1.0,0.0
relu,4,1,0.6931501356935397,-1.0,0.5
relu,4,2,0.693151589981874,-1.0,0.5
relu,4,3,0.5264069559166252,-0.43999999999999995,0.36
relu,4,4,0.27859937915909355,0.6,0.09999999999999998
relu,4,5,0.16397670974464598,0.6,0.09999999999999998
relu,4,6,0.4099006184805282,-0.08000000000000007,0.27
relu,4,7,0.21852978826305688,0.4,0.15000000000000002
relu,4,8,7.125054187294655e-05,1.0,0.0
relu,4,9,0.027835518825095027,0.96,0.010000000000000009
relu,4,10,0.584933425246703,-0.43999999999999995,0.36
relu,5,1,0.6931501085688657,-1.0,0.5
relu,5,2,0.6931527071276962,-1.0,0.5
relu,5,3,0.5583791666268567,-0.24,0.31000000000000005
relu,5,4,0.31417312891948407,0.28,0.18000000000000005
relu,5,5,0.6844136874957024,-1.0,0.5
relu,5,6,0.5579077732975659,-0.43999999999999995,0.36
relu,5,7,0.39905330780477394,0.52,0.12
relu,5,8,0.06145869410329137,0.96,0.010000000000000009
relu,5,9,0.07653172923206646,0.88,0.030000000000000027
relu,5,10,0.5924195947673035,-0.43999999999999995,0.36
