Activation,nLayer,nHiddenNeuron,Loss,RSquare,Misclassification
tanh,1,1,0.5763850087576233,-0.3999999999999999,0.35
tanh,1,2,0.49835038366890616,-0.040000000000000036,0.26
tanh,1,3,0.27415953443532887,0.72,0.06999999999999995
tanh,1,4,0.028615071045614796,1.0,0.0
tanh,1,5,0.18400211623369797,0.56,0.10999999999999999
tanh,1,6,0.07747223657515939,0.96,0.010000000000000009
tanh,1,7,0.0033831158142104685,1.0,0.0
tanh,1,8,0.0009718029309953466,1.0,0.0
tanh,1,9,0.000955223895919082,1.0,0.0
tanh,1,10,0.000950310572194484,1.0,0.0
tanh,2,1,0.5847676025701152,-0.43999999999999995,0.36
tanh,2,2,0.5274266238882285,-0.48,0.37
tanh,2,3,0.4388850326004061,-0.08000000000000007,0.27
tanh,2,4,0.03842051103450818,0.96,0.010000000000000009
tanh,2,5,0.0005980940210191073,1.0,0.0
tanh,2,6,0.00023073459995946922,1.0,0.0
tanh,2,7,0.0005049692475250854,1.0,0.0
tanh,2,8,0.0003797076718127695,1.0,0.0
tanh,2,9,0.0003124653035810757,1.0,0.0
tanh,2,10,0.0003130711110706153,1.0,0.0
tanh,3,1,0.584762769101902,-0.43999999999999995,0.36
tanh,3,2,0.576086688238757,-0.3999999999999999,0.35
tanh,3,3,0.5906797368486998,-0.52,0.38
tanh,3,4,0.20876854324115612,0.52,0.12
tanh,3,5,0.0005547392288420796,1.0,0.0
tanh,3,6,0.00013618317614499267,1.0,0.0
tanh,3,7,0.0004307134340434644,1.0,0.0
tanh,3,8,0.0003171245746445419,1.0,0.0
tanh,3,9,0.00030972319540426853,1.0,0.0
tanh,3,10,0.00027354526346734856,1.0,0.0
tanh,4,1,0.6931484104408216,-1.0,0.5
tanh,4,2,0.49552822153000997,-0.48,0.37
tanh,4,3,0.5027880902301111,-0.32000000000000006,0.32999999999999996
tanh,4,4,0.00012613930131379533,1.0,0.0
tanh,4,5,0.0001328124425872228,1.0,0.0
tanh,4,6,0.15864126918116966,0.76,0.06000000000000005
tanh,4,7,0.00022179678630148135,1.0,0.0
tanh,4,8,0.0001635641276569304,1.0,0.0
tanh,4,9,0.0001901944765008747,1.0,0.0
tanh,4,10,0.00011166865486313589,1.0,0.0
tanh,5,1,0.6931595458399682,-1.0,0.5
tanh,5,2,0.415561573439407,-0.08000000000000007,0.27
tanh,5,3,0.15070905404374965,0.64,0.08999999999999997
tanh,5,4,0.00013547615555107895,1.0,0.0
tanh,5,5,0.0001839549419480128,1.0,0.0
tanh,5,6,0.4069818820763083,-0.08000000000000007,0.27
tanh,5,7,0.0001635781550155976,1.0,0.0
tanh,5,8,0.0011542971243278892,1.0,0.0
tanh,5,9,0.0001693754344578567,1.0,0.0
tanh,5,10,0.0001245732173176178,1.0,0.0
